active$ctlevel_id$ctunitTitle$ctunitId$id
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Electronica Automotriz  (  Ip Inacap )$I100M2007N167$299
1$13$Ingenieria En Maquinaria, Vehiculos Automotrices Y Sistemas Electronicos  (  Ip Inacap )$I100M2007N168$300
1$13$Ingenieria En Minas Mencion Procesos Mineros  (  Ip Inacap )$I100M2007N169$301
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N170$302
1$9$Ingenieria En Prevencion De Riesgos, Calidad Y Ambiente  (  Ip Inacap )$I100M2007N171$303
1$13$Ingenieria En Proyectos Industriales  (  Ip Inacap )$I100M2007N172$304
1$13$Ingenieria En Quimica Industrial  (  Ip Inacap )$I100M2007N173$305
1$13$Ingenieria En Refrigeracion Y Climatizacion Industrial  (  Ip Inacap )$I100M2007N174$306
1$13$Ingenieria En Telecomunicaciones  (  Ip Inacap )$I100M2007N175$307
1$13$Ingenieria Mecanica En Mantenimiento Industrial  (  Ip Inacap )$I100M2007N176$308
1$13$Ingenieria Mecanica En Produccion Industrial  (  Ip Inacap )$I100M2007N177$309
1$13$Ingeniero Constructor  (  Ip Inacap )$I100M2007N178$310
1$14$Nutricion Y Alimentacion Institucional  (  Ip Inacap )$I100M2007N179$311
1$10$Pedagogia Tecnico Profesional Electronica Industrial  (  Ip Inacap )$I100M2007N180$312
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2007N181$313
1$12$Publicidad  (  Ip Inacap )$I100M2007N182$314
1$14$Servicio Social  (  Ip Inacap )$I100M2007N183$315
1$9$Administracion Gastronomica Internacional  (  Ip Inacap )$I100M2007N184$316
1$11$Analista Quimico  (  Ip Inacap )$I100M2007N185$317
1$13$Construccion Civil Mencion Edificacion  (  Ip Inacap )$I100M2007N186$318
1$13$Construccion Civil Mencion Obras Civiles  (  Ip Inacap )$I100M2007N187$319
1$12$Ingenieria En Administracion De Empresas Marketing  (  Ip Inacap )$I100M2007N188$320
1$12$Ingenieria En Administracion De Empresas Mencion Finanzas  (  Ip Inacap )$I100M2007N189$321
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N19$322
1$12$Ingenieria En Administracion De Empresas Personal  (  Ip Inacap )$I100M2007N190$323
1$12$Ingenieria En Administracion De Operaciones  (  Ip Inacap )$I100M2007N191$324
1$13$Ingenieria En Automatizacion Y Control Industrial  (  Ip Inacap )$I100M2007N192$325
1$11$Ingenieria En Conectividad Y Redes  (  Ip Inacap )$I100M2007N193$326
1$13$Ingenieria En Electricidad Proyectos De Instalaciones Electricas  (  Ip Inacap )$I100M2007N194$327
1$13$Ingenieria En Electronica Electronica Industrial  (  Ip Inacap )$I100M2007N195$328
1$13$Ingenieria En Geomensura  (  Ip Inacap )$I100M2007N196$329
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N197$330
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2007N199$331
1$11$Ingenieria En Gestion Informatica  (  Ip Inacap )$I100M2007N2$332
1$13$Ingenieria En Mantenimiento Industrial  (  Ip Inacap )$I100M2007N200$333
1$13$Ingenieria En Manufactura Industrial Metalmecanica  (  Ip Inacap )$I100M2007N201$334
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices  (  Ip Inacap )$I100M2007N202$335
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Electronica Automotriz  (  Ip Inacap )$I100M2007N203$336
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Mencion Maquinaria Pesada  (  Ip Inacap )$I100M2007N204$337
1$13$Ingenieria En Maquinaria, Vehiculos Automotrices Y Sistemas Electronicos  (  Ip Inacap )$I100M2007N205$338
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N206$339
1$9$Ingenieria En Prevencion De Riesgos, Calidad Y Ambiente  (  Ip Inacap )$I100M2007N207$340
1$13$Ingenieria En Proyectos Industriales  (  Ip Inacap )$I100M2007N208$341
1$13$Ingenieria En Refrigeracion Y Climatizacion Industrial  (  Ip Inacap )$I100M2007N209$342
1$12$Ingenieria En Administracion De Empresas Marketing  (  Ip Inacap )$I100M2007N21$343
1$13$Ingenieria En Telecomunicaciones  (  Ip Inacap )$I100M2007N210$344
1$13$Ingenieria Mecanica En Mantenimiento Industrial  (  Ip Inacap )$I100M2007N211$345
1$13$Ingenieria Mecanica En Produccion Industrial  (  Ip Inacap )$I100M2007N212$346
1$13$Ingeniero Constructor  (  Ip Inacap )$I100M2007N213$347
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2007N214$348
1$15$Traduccion E Interprete Ingles-Español  (  Ip Inacap )$I100M2007N215$349
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2007N216$350
1$12$Contador Auditor  (  Ip Inacap )$I100M2007N218$351
1$12$Contador Auditor  (  Ip Inacap )$I100M2007N219$352
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N22$353
1$12$Ingenieria En Administracion De Empresas Marketing  (  Ip Inacap )$I100M2007N220$354
1$12$Ingenieria En Administracion De Operaciones  (  Ip Inacap )$I100M2007N221$355
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N222$356
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N223$357
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N224$358
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N225$359
1$12$Ingenieria En Negocios Internacionales  (  Ip Inacap )$I100M2007N226$360
1$12$Comunicacion Empresarial Mencion Marketing Y Relaciones Publicas  (  Ip Inacap )$I100M2007N227$361
1$14$Servicio Social  (  Ip Inacap )$I100M2007N228$362
1$10$Pedagogia Tecnico Profesional Mencion Informatica  (  Ip Inacap )$I100M2007N229$363
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2007N23$364
1$11$Ingenieria En Conectividad Y Redes  (  Ip Inacap )$I100M2007N230$365
1$11$Ingenieria En Gestion Informatica  (  Ip Inacap )$I100M2007N231$366
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2007N232$367
1$13$Construccion Civil Mencion Obras Civiles  (  Ip Inacap )$I100M2007N233$368
1$13$Construccion Civil Mencion Obras Civiles  (  Ip Inacap )$I100M2007N234$369
1$13$Ingeniero Constructor  (  Ip Inacap )$I100M2007N235$370
1$13$Ingenieria En Automatizacion Y Control Industrial  (  Ip Inacap )$I100M2007N236$371
1$13$Ingenieria En Automatizacion Y Control Industrial  (  Ip Inacap )$I100M2007N237$372
1$13$Ingenieria En Automatizacion Y Control Industrial  (  Ip Inacap )$I100M2007N238$373
1$13$Ingenieria En Mantenimiento Industrial  (  Ip Inacap )$I100M2007N239$374
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N24$375
1$13$Ingenieria En Mantenimiento Industrial  (  Ip Inacap )$I100M2007N240$376
1$13$Ingenieria En Mantenimiento Industrial  (  Ip Inacap )$I100M2007N241$377
1$13$Ingenieria En Manufactura Industrial Metalmecanica  (  Ip Inacap )$I100M2007N242$378
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices  (  Ip Inacap )$I100M2007N243$379
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices  (  Ip Inacap )$I100M2007N244$380
1$10$Pedagogia Tecnico Profesional Mencion Informatica  (  Ip Inacap )$I100M2007N25$381
1$12$Contador Auditor  (  Ip Inacap )$I100M2007N28$382
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N29$383
1$13$Ingenieria En Manufactura Industrial Metalmecanica  (  Ip Inacap )$I100M2007N3$384
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N30$385
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N31$386
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N33$387
1$9$Administracion De Empresas Turisticas, Mencion Viajes Y Turismo  (  Ip Inacap )$I100M2007N34$388
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N36$389
1$13$Ingenieria En Minas Mencion Metalurgia Extractiva  (  Ip Inacap )$I100M2007N37$390
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N38$391
1$13$Ingenieria En Quimica Industrial  (  Ip Inacap )$I100M2007N39$392
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N4$393
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N40$394
1$11$Ingenieria En Gestion Informatica  (  Ip Inacap )$I100M2007N41$395
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N42$396
1$11$Ingenieria En Gestion Informatica  (  Ip Inacap )$I100M2007N43$397
1$13$Ingenieria En Manufactura Industrial Metalmecanica  (  Ip Inacap )$I100M2007N44$398
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2007N45$399
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N46$400
1$11$Ingenieria En Gestion Informatica  (  Ip Inacap )$I100M2007N47$401
1$14$Servicio Social  (  Ip Inacap )$I100M2007N48$402
1$12$Ingenieria En Administracion De Empresas Mencion Finanzas  (  Ip Inacap )$I100M2007N49$403
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N5$404
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N51$405
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2007N52$406
1$12$Ingenieria En Administracion De Empresas Personal  (  Ip Inacap )$I100M2007N54$407
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2007N55$408
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N56$409
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2007N57$410
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N59$411
1$11$Ingenieria En Gestion Informatica  (  Ip Inacap )$I100M2007N6$412
1$10$Pedagogia Tecnico Profesional Electronica Industrial  (  Ip Inacap )$I100M2007N60$413
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N61$414
1$13$Ingenieria En Electricidad Proyectos De Instalaciones Electricas  (  Ip Inacap )$I100M2007N63$415
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N64$416
1$12$Ingenieria En Administracion De Empresas Mencion Finanzas  (  Ip Inacap )$I100M2007N65$417
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2007N66$418
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N67$419
1$10$Pedagogia En Educacion Tecnico Profesional  (  Ip Inacap )$I100M2007N69$420
1$13$Ingenieria En Manufactura Industrial Metalmecanica  (  Ip Inacap )$I100M2007N7$421
1$12$Ingenieria En Administracion De Empresas Mencion Finanzas  (  Ip Inacap )$I100M2007N70$422
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N71$423
1$11$Ingenieria En Gestion Informatica  (  Ip Inacap )$I100M2007N72$424
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2007N73$425
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N74$426
1$10$Pedagogia Tecnico Profesional Mencion Contabilidad  (  Ip Inacap )$I100M2007N75$427
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N76$428
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N77$429
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2007N78$430
1$9$Administracion De Empresas Turisticas, Mencion Viajes Y Turismo  (  Ip Inacap )$I100M2007N79$431
1$9$Administracion De Empresas Turisticas Mencion Turismo Aventura  (  Ip Inacap )$I100M2007N8$432
1$9$Administracion De Hoteles Y Restaurantes  (  Ip Inacap )$I100M2007N80$433
1$12$Ingenieria En Administracion De Empresas Marketing  (  Ip Inacap )$I100M2007N82$434
1$12$Ingenieria En Administracion De Empresas Mencion Finanzas  (  Ip Inacap )$I100M2007N83$435
1$13$Ingenieria En Minas Mencion Procesos Mineros  (  Ip Inacap )$I100M2007N87$436
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N88$437
1$9$Administracion De Empresas Turisticas, Mencion Viajes Y Turismo  (  Ip Inacap )$I100M2007N9$438
1$10$Pedagogia Tecnico Profesional Mencion Informatica  (  Ip Inacap )$I100M2007N90$439
1$12$Ingenieria En Administracion De Empresas Personal  (  Ip Inacap )$I100M2007N91$440
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2007N92$441
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N93$442
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2007N94$443
1$12$Comunicacion Empresarial Sin Mencion  (  Ip Inacap )$I100M2007N98$444
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2007N99$445
1$9$Administracion Hotelera Profesional Mencion Alimentos Y Bebidas  (  Ip Inacap )$I100M2008N10$446
1$13$Ingenieria En Geomensura  (  Ip Inacap )$I100M2008N105$447
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Mencion Maquinaria Pesada  (  Ip Inacap )$I100M2008N109$448
1$9$Administracion Hotelera Profesional Mencion Recepcion Y Habitaciones  (  Ip Inacap )$I100M2008N11$449
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N110$450
1$13$Ingenieria En Proyectos Industriales  (  Ip Inacap )$I100M2008N113$451
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N115$452
1$13$Ingenieria En Electronica Sin Mencion  (  Ip Inacap )$I100M2008N119$453
1$13$Arquitectura Del Paisaje  (  Ip Inacap )$I100M2008N12$454
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N120$455
1$9$Administracion De Empresas Turisticas, Mencion Viajes Y Turismo  (  Ip Inacap )$I100M2008N124$456
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N127$457
1$12$Comunicacion Empresarial Mencion Marketing Y Relaciones Publicas  (  Ip Inacap )$I100M2008N13$458
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N136$459
1$13$Ingenieria En Minas Mencion Metalurgia Extractiva  (  Ip Inacap )$I100M2008N138$460
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2008N139$461
1$12$Comunicacion Empresarial Mencion Recursos Humanos  (  Ip Inacap )$I100M2008N14$462
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2008N144$463
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N145$464
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2008N146$465
1$13$Ingenieria En Manufactura Industrial Metalmecanica  (  Ip Inacap )$I100M2008N148$466
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N149$467
1$12$Comunicacion Empresarial Sin Mencion  (  Ip Inacap )$I100M2008N15$468
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2008N151$469
1$13$Ingenieria En Electronica Electronica Industrial  (  Ip Inacap )$I100M2008N153$470
1$13$Ingenieria En Electronica Sin Mencion  (  Ip Inacap )$I100M2008N154$471
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N155$472
1$12$Contador Auditor  (  Ip Inacap )$I100M2008N16$473
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N162$474
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2008N168$475
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N169$476
1$15$Diseño De Vestuario  (  Ip Inacap )$I100M2008N17$477
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N173$478
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2008N174$479
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2008N177$480
1$15$Diseño Grafico Profesional  (  Ip Inacap )$I100M2008N18$481
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2008N180$482
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N181$483
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N188$484
1$13$Diseño Industrial De Mobiliario Y Producto  (  Ip Inacap )$I100M2008N19$485
1$10$Pedagogia Tecnico Profesional Electronica Industrial  (  Ip Inacap )$I100M2008N193$486
1$12$Ingenieria En Administracion De Empresas Marketing  (  Ip Inacap )$I100M2008N195$487
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N198$488
1$9$Administracion De Empresas Turisticas Mencion Turismo Aventura  (  Ip Inacap )$I100M2008N2$489
1$13$Ingenieria En Electricidad Proyectos De Instalaciones Electricas  (  Ip Inacap )$I100M2008N205$490
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N207$491
1$15$Diseño Y Moldaje De Vestuario Sin Mencion  (  Ip Inacap )$I100M2008N21$492
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N216$493
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N218$494
1$12$Ingenieria En Administracion De Empresas Marketing  (  Ip Inacap )$I100M2008N22$495
1$10$Pedagogia En Educacion Tecnico Profesional  (  Ip Inacap )$I100M2008N220$496
1$12$Ingenieria En Administracion De Empresas Mencion Finanzas  (  Ip Inacap )$I100M2008N221$497
1$11$Ingenieria En Gestion Informatica  (  Ip Inacap )$I100M2008N222$498
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2008N224$499
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N225$500
1$10$Pedagogia Tecnico Profesional Mencion Contabilidad  (  Ip Inacap )$I100M2008N229$501
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2008N230$502
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N231$503
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2008N235$504
1$9$Administracion De Empresas Turisticas, Mencion Viajes Y Turismo  (  Ip Inacap )$I100M2008N236$505
1$9$Administracion De Hoteles Y Restaurantes  (  Ip Inacap )$I100M2008N237$506
1$12$Ingenieria En Administracion De Empresas Mencion Finanzas  (  Ip Inacap )$I100M2008N242$507
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N247$508
1$13$Ingenieria En Minas Mencion Procesos Mineros  (  Ip Inacap )$I100M2008N249$509
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2008N25$510
1$11$Ingenieria En Conectividad Y Redes  (  Ip Inacap )$I100M2008N256$511
1$9$Ingenieria En Gestion De Calidad Y Ambiente  (  Ip Inacap )$I100M2008N257$512
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N258$513
1$13$Ingeniero Constructor  (  Ip Inacap )$I100M2008N261$514
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2008N262$515
1$12$Comunicacion Empresarial Sin Mencion  (  Ip Inacap )$I100M2008N266$516
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N267$517
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2008N269$518
1$12$Ingenieria En Negocios Internacionales  (  Ip Inacap )$I100M2008N27$519
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2008N271$520
1$14$Nutricion Y Alimentacion Institucional  (  Ip Inacap )$I100M2008N28$521
1$11$Ingenieria En Gestion Informatica  (  Ip Inacap )$I100M2008N282$522
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2008N283$523
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N284$524
1$9$Ingenieria En Prevencion De Riesgos  (  Ip Inacap )$I100M2008N286$525
1$11$Ingenieria En Informatica  (  Ip Inacap )$I100M2008N289$526
1$10$Psicopedagogia  (  Ip Inacap )$I100M2008N29$527
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N290$528
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2008N293$529
1$13$Ingenieria En Mantenimiento Industrial  (  Ip Inacap )$I100M2008N298$530
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N299$531
1$9$Administracion De Empresas Turisticas, Mencion Viajes Y Turismo  (  Ip Inacap )$I100M2008N3$532
1$12$Publicidad  (  Ip Inacap )$I100M2008N30$533
1$13$Ingenieria En Maquinaria Y Vehiculos Automotrices Sin Mencion  (  Ip Inacap )$I100M2008N309$534
1$14$Servicio Social  (  Ip Inacap )$I100M2008N31$535
1$10$Pedagogia Tecnico Profesional Informatica  (  Ip Inacap )$I100M2008N315$536
