active$id$ctlevelId$ctlevelTitle
1$9$9$IP-Servicios
1$10$10$IP-Educación
1$11$11$IP-Ciencias
1$12$12$IP-Ciencias Sociales, Enseñanza Comercial y Derecho
1$13$13$IP-Ingeniería, Industria y Construcción
1$14$14$IP-Salud y Servicios Sociales
1$15$15$IP-Humanidades y Artes
1$16$16$IP-Agricultura
1$17$17$UNIVERSIDAD-Humanidades y Artes
1$18$18$UNIVERSIDAD-Salud y Servicios Sociales
1$19$19$UNIVERSIDAD-Agricultura
1$20$20$UNIVERSIDAD-Ciencias Sociales, Enseñanza Comercial y Derecho
1$21$21$UNIVERSIDAD-Ingeniería, Industria y Construcción
1$22$22$UNIVERSIDAD-Ciencias
1$23$23$UNIVERSIDAD-Educación
1$24$24$UNIVERSIDAD-Servicios
1$25$25$CFT-Ciencias Sociales, Enseñanza Comercial y Derecho
1$26$26$CFT-Humanidades y Artes
1$27$27$CFT-Servicios
1$28$28$CFT-Ciencias
1$29$29$CFT-Ingeniería, Industria y Construcción
1$30$30$CFT-Educación
1$31$31$CFT-Salud y Servicios Sociales
1$32$32$CFT-Agricultura
1$33$33$UNIVERSIDAD-Sin área definida
