ctlevel_id$cttype_id
32$29
28$25
25$22
30$27
26$23
29$26
31$28
27$24
16$13
11$8
12$9
10$7
15$12
13$10
14$11
9$6
19$16
22$19
20$17
23$20
17$14
21$18
18$15
24$21
33$30
